full_name,libelle,nuance_2017,signification_2017,nuance_2022,signification_2022
Nathalie ARTHAUD,ARTHAUD,COM,Parti communiste français,COM,Parti communiste français
François ASSELINEAU,ASSELINEAU,DIV,Divers,,
Jacques CHEMINADE,CHEMINADE,DIV,Divers,,
Nicolas DUPONT-AIGNAN,DUPONT-AIGNAN,DLF,Debout la France,DLF,Debout la France
François FILLON,FILLON,LR,Les Républicains,,
Benoît HAMON,HAMON,SOC,Parti socialiste,,
Anne HIDALGO,HIDALGO,,,SOC,Parti socialiste
Yannick JADOT,JADOT,,,EELV,Europe Écologie Les Verts
Jean LASSALLE,LASSALLE,MDM,Modem / Démocrates,MDM,Modem / Démocrates
Marine LE PEN,LE PEN,RN,Rassemblement National,RN,Rassemblement National
Emmanuel MACRON,MACRON,REM,La République en Marche,ENS,Ensemble ! (Majorité présidentielle)
Jean-Luc MÉLENCHON,MÉLENCHON,FI,La France insoumise,FI,La France insoumise
Philippe POUTOU,POUTOU,DIV,Divers,DIV,Divers
Valérie PÉCRESSE,PÉCRESSE,,,LR,Les Républicains
Fabien ROUSSEL,ROUSSEL,,,COM,Parti communiste français
Éric ZEMMOUR,ZEMMOUR,,,REC,Reconquête !
